,batsman,opponent_team,venue,50+ on ground,100+ on ground,avg_runs_ground,avg_runs_to_opponent,50+_runs_against_opponent,100+_runs_against_opponent,player_strength
474,NV Ojha,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",0,0,14.625,9.5,0,0,17.55714285714286
475,P Kumar,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,6.5,3.75,0,0,15.8
476,RA Jadeja,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,18.0,17.272727272727273,1,0,23.146153846153847
477,S Dhawan,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",3,0,31.785714285714285,25.4,1,0,25.875
478,SK Raina,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,12.5,21.76923076923077,2,0,19.725
479,Yuvraj Singh,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",1,0,17.5,6.5,0,0,6.9714285714285715
480,AB de Villiers,Rising Pune Supergiants,M Chinnaswamy Stadium,4,1,32.285714285714285,42.0,1,0,4.033333333333333
481,AM Rahane,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,0,52.0,36.7,3,0,40.62025117739404
482,GJ Bailey,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,0.0,0.0,0,0,0.2
483,KL Rahul,Rising Pune Supergiants,M Chinnaswamy Stadium,2,0,30.833333333333332,22.5,0,0,31.15714285714286
484,MS Dhoni,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,18.5,25.307692307692307,2,0,20.534615384615385
485,NLTC Perera,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,14.0,24.0,0,0,24.8
486,R Ashwin,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,10.0,11.142857142857142,0,0,25.1
487,R Bhatia,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,9.0,15.0,0,0,27.0
488,SR Watson,Rising Pune Supergiants,M Chinnaswamy Stadium,0,0,15.181818181818182,18.5,0,0,45.892307692307696
489,SS Tiwary,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,0,52.0,28.5,1,0,40.093023255813954
490,TM Head,Rising Pune Supergiants,M Chinnaswamy Stadium,1,0,27.0,6.0,0,0,9.966666666666665
491,UT Khawaja,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,16.0,16.0,0,0,34.86666666666666
492,V Kohli,Rising Pune Supergiants,M Chinnaswamy Stadium,8,3,50.57142857142857,94.0,2,1,74.12068965517241
493,AR Patel,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,7.857142857142857,23.666666666666668,0,0,34.766666666666666
494,CH Morris,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,9.5,14.5,0,0,14.133333333333335
495,CR Brathwaite,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,12.0,12.0,0,0,26.3
496,DA Miller,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,12.714285714285714,18.8,0,0,21.314285714285717
497,GJ Maxwell,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,21.75,5.333333333333333,0,0,21.733333333333334
498,HM Amla,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,1,47.6,12.0,0,0,9.686363636363636
499,KK Nair,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,17.0,11.333333333333334,0,0,19.123076923076923
500,M Vijay,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,0,37.142857142857146,13.0,0,0,28.625
501,MP Stoinis,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,39.666666666666664,37.0,1,0,39.51818181818182
502,Q de Kock,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,52.0,37.0,4,0,43.974193548387106
503,RR Pant,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,3.5,14.6,0,0,11.216666666666665
504,SV Samson,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,27.0,34.6,1,0,23.216666666666665
505,SW Billings,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,3.0,14.0,1,0,5.183333333333333
506,WP Saha,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,20.875,20.666666666666668,1,0,42.45757575757576
507,AT Rayudu,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,9.75,31.0,3,1,13.3
508,DA Warner,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,29.5,44.5,4,0,39.114285714285714
509,HH Pandya,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,7.0,12.928571428571429,1,0,8.775
510,Harbhajan Singh,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,17.5,5.6,0,0,19.876923076923077
511,JC Buttler,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,9.666666666666666,31.75,3,1,11.1
512,JJ Bumrah,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,4.0,4.2,0,0,10.266666666666666
513,KA Pollard,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,13.666666666666666,19.666666666666668,0,0,14.76153846153846
514,KH Pandya,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,40.666666666666664,17.615384615384617,0,0,24.554545454545455
515,KS Williamson,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,20.666666666666668,8.5,0,0,5.3
516,MC Henriques,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,5.5,21.666666666666668,0,0,5.6
517,MJ McClenaghan,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,6.0,3.3333333333333335,0,0,13.28888888888889
518,PA Patel,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,0.0,13.0,0,0,0.4
519,RG Sharma,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,17.0,21.4,2,0,19.26666666666667
520,S Dhawan,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,37.5,34.9375,4,0,57.18596491228071
521,TG Southee,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,2.0,2.0,0,0,9.1
522,Yuvraj Singh,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,31.0,13.6,0,0,36.45
523,AJ Finch,Kolkata Knight Riders,Eden Gardens,0,0,30.0,28.285714285714285,0,0,40.233333333333334
524,BB McCullum,Kolkata Knight Riders,Eden Gardens,0,0,35.0,30.666666666666668,0,0,34.18408029878618
525,DR Smith,Kolkata Knight Riders,Eden Gardens,0,0,16.0,10.666666666666666,0,0,21.905263157894737
526,G Gambhir,Gujarat Lions,Eden Gardens,5,0,32.4,30.5,1,0,19.856321839080458
527,KD Karthik,Kolkata Knight Riders,Eden Gardens,3,0,27.41176470588235,22.571428571428573,1,0,27.793103448275865
528,MK Pandey,Gujarat Lions,Eden Gardens,2,0,25.133333333333333,8.333333333333334,0,0,12.114285714285714
529,RA Jadeja,Kolkata Knight Riders,Eden Gardens,0,0,17.75,18.23076923076923,0,0,21.977258852258853
530,RV Uthappa,Gujarat Lions,Eden Gardens,5,0,24.037037037037038,37.0,1,0,36.95
531,SA Yadav,Gujarat Lions,Eden Gardens,0,0,13.1,7.333333333333333,0,0,8.416666666666666
532,SK Raina,Kolkata Knight Riders,Eden Gardens,2,0,46.75,38.55555555555556,4,0,37.15741315850011
533,Shakib Al Hasan,Gujarat Lions,Eden Gardens,1,0,24.5,23.333333333333332,1,0,29.3
534,YK Pathan,Gujarat Lions,Eden Gardens,2,0,19.357142857142858,36.666666666666664,1,0,40.12558139534884
535,AB de Villiers,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,64.0,43.44444444444444,5,0,50.78571428571429
536,DA Miller,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,12.714285714285714,15.142857142857142,0,0,0.1
537,F Behardien,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,9.0,4.5,0,0,17.45714285714286
538,HM Amla,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,1,47.6,22.25,1,0,21.6
539,KL Rahul,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,42.0,29.0,0,0,37.95384615384616
540,M Vijay,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,0,37.142857142857146,52.5,1,0,61.48474576271187
541,MP Stoinis,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,39.666666666666664,24.3,2,0,32.95454545454545
542,SR Watson,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,1.0,16.625,1,0,4.033333333333333
543,Sachin Baby,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,33.0,33.0,0,0,28.04516129032258
544,TM Head,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,11.0,11.0,0,0,19.55
545,V Kohli,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,20.0,37.44444444444444,2,1,20.423809523809524
546,WP Saha,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,20.875,19.181818181818183,0,0,20.50769230769231
547,A Zampa,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,0.0,0.0,0,0,0.1
548,AM Rahane,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,20.333333333333332,24.90909090909091,2,0,0.30000000000000004
549,B Kumar,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,1.0,11.0,0,0,5.6
550,BB Sran,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,1.0,1.0,0,0,10.5
551,DA Warner,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,29.5,5.5,0,0,13.833333333333332
552,DJ Hooda,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,9.0,7.5,0,0,35.1
553,GJ Bailey,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,17.0,34.0,0,0,27.5
554,KS Williamson,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,20.666666666666668,32.0,0,0,25.905128205128204
555,MC Henriques,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,5.5,5.5,0,0,17.7
556,MS Dhoni,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,34.333333333333336,22.833333333333332,1,0,30.5
557,NLTC Perera,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,20.0,17.0,0,0,20.942857142857143
558,NV Ojha,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,7.0,12.5,0,0,17.7
559,R Ashwin,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,15.0,8.2,0,0,26.799999999999997
560,S Dhawan,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,37.5,44.5,1,0,30.022222222222226
561,SS Tiwary,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,13.0,5.0,0,0,14.0
562,UT Khawaja,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,20.0,11.0,0,0,19.55
563,Yuvraj Singh,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,31.0,23.0,0,0,23.552380952380954
564,AB de Villiers,Mumbai Indians,M Chinnaswamy Stadium,4,1,32.285714285714285,33.0,3,0,20.462626262626262
565,AT Rayudu,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,25.0,33.083333333333336,1,0,33.36666666666667
566,CH Gayle,Mumbai Indians,M Chinnaswamy Stadium,2,0,17.25,27.3,2,0,15.895238095238096
567,JC Buttler,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,15.5,29.428571428571427,3,1,22.083333333333332
568,KA Pollard,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,0,38.0,20.53846153846154,2,0,42.20155279503106
569,KL Rahul,Mumbai Indians,M Chinnaswamy Stadium,2,0,30.833333333333332,58.84615384615385,8,3,48.7925925925926
570,N Rana,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,10.0,23.357142857142858,1,0,13.328409090909092
571,PA Patel,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,6.0,2.25,0,0,5.516666666666667
572,RG Sharma,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,17.0,29.785714285714285,3,0,11.707692307692307
573,SR Watson,Mumbai Indians,M Chinnaswamy Stadium,0,0,15.181818181818182,15.8,1,0,18.914285714285715
574,Sachin Baby,Mumbai Indians,M Chinnaswamy Stadium,0,0,14.75,25.0,0,0,32.13076923076923
575,V Kohli,Mumbai Indians,M Chinnaswamy Stadium,8,3,50.57142857142857,33.25,4,0,29.183333333333337
576,A Nehra,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,0,1.0,1.0,0,0,10.5
577,B Kumar,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,0,5.5,7.0,0,0,5.6
578,BB Sran,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,0,1.0,0.5,0,0,10.5
579,DA Warner,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",6,1,47.142857142857146,38.25,1,0,23.426497695852532
580,DJ Hooda,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,0,9.6,6.666666666666667,0,0,21.65555555555556
581,KK Nair,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,26.5,36.5,1,0,26.857352941176472
582,KS Williamson,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2,0,36.0,51.0,2,0,43.9
583,MA Agarwal,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,10.0,17.666666666666668,1,0,16.611111111111114
584,MC Henriques,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2,0,19.23076923076923,13.75,0,0,13.05
585,NV Ojha,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,0,14.625,11.5,0,0,11.777777777777779
586,Q de Kock,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,44.0,32.888888888888886,2,0,37.05
587,RR Pant,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,19.5,31.0625,1,1,17.572222222222223
588,S Dhawan,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",3,0,31.785714285714285,44.5,2,0,38.8445945945946
589,SV Samson,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,38.0,47.333333333333336,5,1,32.659932659932664
590,Yuvraj Singh,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",1,0,17.5,19.5,1,0,11.8
591,AT Rayudu,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,9.75,23.857142857142858,1,0,0.30000000000000004
592,GJ Maxwell,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,0.0,28.615384615384617,3,0,0.2
593,Gurkeerat Singh,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,28.5,10.0,0,0,18.1
594,HM Amla,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,15.0,52.0,1,1,0.5
595,Harbhajan Singh,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,17.5,11.666666666666666,0,0,21.4
596,JC Buttler,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,9.666666666666666,40.111111111111114,4,0,13.9
597,JJ Bumrah,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,4.0,2.0,0,0,11.0
598,KA Pollard,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,13.666666666666666,35.111111111111114,3,0,28.0
599,KH Pandya,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,40.666666666666664,21.166666666666668,0,0,25.733333333333334
600,M Vijay,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,0,56.5,27.6,1,0,39.41818181818182
601,MJ McClenaghan,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,6.0,5.0,0,0,12.3
602,N Rana,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,25.0,22.25,2,0,23.02068965517241
603,RG Sharma,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,17.0,18.11111111111111,1,0,14.95
604,TG Southee,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,2.0,1.0,0,0,4.033333333333333
605,UBT Chand,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,0.0,0.0,0,0,0.5
606,WP Saha,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,22.333333333333332,28.833333333333332,4,0,43.3
607,AB de Villiers,Gujarat Lions,M Chinnaswamy Stadium,4,1,32.285714285714285,58.25,2,1,51.68820754716981
608,AD Nath,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,3.0,3.0,0,0,6.8
609,AJ Finch,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,0,37.666666666666664,26.333333333333332,1,0,31.925396825396827
610,BB McCullum,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,5.0,25.8,1,0,8.287179487179486
611,CH Gayle,Gujarat Lions,M Chinnaswamy Stadium,2,0,17.25,25.0,1,0,10.670207570207571
612,DJ Bravo,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,4.5,7.571428571428571,0,0,10.614285714285714
613,DR Smith,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,0,40.0,28.25,1,0,35.53577235772357
614,DS Kulkarni,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,6.0,6.0,0,0,18.933333333333334
615,KD Karthik,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,14.0,15.727272727272727,1,0,14.3125
616,P Kumar,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,1.0,1.0,0,0,3.6666666666666665
617,PV Tambe,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,7.0,7.0,0,0,8.68421052631579
618,RA Jadeja,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,8.666666666666666,12.538461538461538,1,0,11.016666666666666
619,S Kaushik,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,0.0,0.0,0,0,0.1
620,SR Watson,Gujarat Lions,M Chinnaswamy Stadium,0,0,15.181818181818182,2.3333333333333335,0,0,1.3833333333333333
621,V Kohli,Gujarat Lions,M Chinnaswamy Stadium,8,3,50.57142857142857,56.6,3,2,29.653679653679657
622,AM Rahane,Kolkata Knight Riders,Eden Gardens,0,0,20.8,28.75,2,0,21.573015873015873
623,G Gambhir,Rising Pune Supergiants,Eden Gardens,5,0,32.4,5.5,0,0,0.1
624,GJ Bailey,Kolkata Knight Riders,Eden Gardens,0,0,33.0,33.0,0,0,29.822222222222223
625,IK Pathan,Kolkata Knight Riders,Eden Gardens,0,0,7.0,7.0,0,0,11.57777777777778
626,MK Pandey,Rising Pune Supergiants,Eden Gardens,2,0,25.133333333333333,15.0,0,0,21.436363636363634
627,MS Dhoni,Kolkata Knight Riders,Eden Gardens,0,0,18.0,16.214285714285715,1,0,19.424902874902873
628,NLTC Perera,Kolkata Knight Riders,Eden Gardens,0,0,13.0,12.5,0,0,18.91818181818182
629,R Ashwin,Kolkata Knight Riders,Eden Gardens,0,0,0.0,10.857142857142858,0,0,0.4
630,RV Uthappa,Rising Pune Supergiants,Eden Gardens,5,0,24.037037037037038,2.0,0,0,22.1
631,SS Tiwary,Kolkata Knight Riders,Eden Gardens,1,0,32.5,22.75,1,0,28.518840579710144
632,UT Khawaja,Kolkata Knight Riders,Eden Gardens,0,0,21.0,21.0,0,0,23.65294117647059
633,YK Pathan,Rising Pune Supergiants,Eden Gardens,2,0,19.357142857142858,36.5,0,0,38.0
634,BCJ Cutting,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,18.0,11.0,0,0,25.863636363636367
635,DA Miller,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,12.714285714285714,9.444444444444445,0,0,32.32222222222222
636,DA Warner,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,0,51.5,58.75,7,0,42.584920634920636
637,DJ Hooda,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,34.0,14.0,0,0,32.95454545454545
638,Gurkeerat Singh,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,27.0,35.666666666666664,1,0,27.7
639,HM Amla,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,1,47.6,48.0,1,0,66.64285714285714
640,M Vijay,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,0,37.142857142857146,4.0,0,0,8.6
641,S Dhawan,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,51.0,36.5,3,1,39.73478260869565
642,WP Saha,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,20.875,19.4,1,0,16.119565217391305
643,Yuvraj Singh,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,28.5,18.75,0,0,29.45
644,A Mishra,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,2.6666666666666665,5.333333333333333,0,0,2.9
645,AT Rayudu,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,9.75,32.25,1,0,32.6
646,CH Morris,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,29.0,21.75,1,0,23.2
647,Imran Tahir,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,5.0,6.666666666666667,0,0,10.142857142857142
648,JC Buttler,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,9.666666666666666,28.8,1,0,29.3
649,JP Duminy,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,11.5,29.0,0,0,14.9
650,KA Pollard,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,13.666666666666666,19.666666666666668,1,0,6.8
651,KH Pandya,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,40.666666666666664,30.8,1,0,66.63157894736842
652,KK Nair,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,24.5,9.571428571428571,0,0,14.3
653,MA Agarwal,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,8.0,29.09090909090909,2,0,20.2
654,MJ Guptill,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,42.0,49.0,1,0,37.32857142857143
655,Q de Kock,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,21.0,17.857142857142858,0,0,34.893103448275866
656,RG Sharma,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,17.0,23.666666666666668,1,0,31.061904761904763
657,RR Pant,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,28.5,26.571428571428573,3,0,25.629411764705885
658,S Nadeem,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,1.0,1.0,0,0,2.9
659,SV Samson,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,8.0,25.2,3,0,9.054545454545455
660,Z Khan,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,2.0,2.0,0,0,6.2
661,AB de Villiers,Kolkata Knight Riders,Eden Gardens,1,0,37.0,34.8,4,0,36.10042270531401
662,AD Russell,Royal Challengers Bangalore,Eden Gardens,2,0,30.11111111111111,25.363636363636363,1,0,38.401709401709404
663,CH Gayle,Kolkata Knight Riders,Eden Gardens,1,0,34.5,23.1,2,0,31.319622671235578
664,G Gambhir,Royal Challengers Bangalore,Eden Gardens,5,0,32.4,23.8,1,0,30.383333333333336
665,MK Pandey,Royal Challengers Bangalore,Eden Gardens,2,0,25.133333333333333,25.46153846153846,3,0,28.516447368421055
666,RV Uthappa,Royal Challengers Bangalore,Eden Gardens,5,0,24.037037037037038,22.90909090909091,1,0,13.042149758454107
667,SA Yadav,Royal Challengers Bangalore,Eden Gardens,0,0,13.1,27.857142857142858,3,0,14.497368421052633
668,Shakib Al Hasan,Royal Challengers Bangalore,Eden Gardens,1,0,24.5,22.0,0,0,24.2
669,V Kohli,Kolkata Knight Riders,Eden Gardens,2,1,51.5,37.625,6,1,37.13530026430635
670,YK Pathan,Royal Challengers Bangalore,Eden Gardens,2,0,19.357142857142858,13.571428571428571,1,0,10.944444444444445
671,AM Rahane,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,20.333333333333332,32.0,1,0,34.16666666666667
672,CH Morris,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,29.0,38.0,0,0,36.872727272727275
673,GJ Bailey,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,17.0,8.0,0,0,9.610526315789475
