,batsman,opponent_team,venue,50+ on ground,100+ on ground,avg_runs_ground,avg_runs_to_opponent,50+_runs_against_opponent,100+_runs_against_opponent,player_strength
3085,V Shankar,Kolkata Knight Riders,Sheikh Zayed Stadium,0,0,7.0,28.0,2,0,10.9
3086,F du Plessis,Kings XI Punjab,Dubai International Cricket Stadium,3,0,32.54545454545455,61.0,4,0,60.81818181818182
3087,GJ Maxwell,Chennai Super Kings,Dubai International Cricket Stadium,3,0,22.5,20.0,1,0,21.414285714285715
3088,KL Rahul,Chennai Super Kings,Dubai International Cricket Stadium,5,1,47.166666666666664,42.5,4,0,58.483224222585925
3089,MA Agarwal,Chennai Super Kings,Dubai International Cricket Stadium,2,0,29.3,12.5,0,0,21.340476190476192
3090,Mandeep Singh,Chennai Super Kings,Dubai International Cricket Stadium,0,0,16.666666666666668,15.333333333333334,0,0,30.675
3091,N Pooran,Chennai Super Kings,Dubai International Cricket Stadium,2,0,25.454545454545453,24.0,1,0,36.411764705882355
3092,SN Khan,Chennai Super Kings,Dubai International Cricket Stadium,0,0,8.666666666666666,27.0,1,0,10.8
3093,SR Watson,Kings XI Punjab,Dubai International Cricket Stadium,1,0,28.0,16.625,1,0,58.210344827586205
3094,AB de Villiers,Rajasthan Royals,Sheikh Zayed Stadium,1,0,29.5,23.857142857142858,2,0,18.2
3095,AJ Finch,Rajasthan Royals,Sheikh Zayed Stadium,0,0,18.666666666666668,21.0,1,0,15.928571428571429
3096,D Padikkal,Rajasthan Royals,Sheikh Zayed Stadium,3,0,42.6,55.25,2,1,46.39565217391305
3097,JC Archer,Royal Challengers Bangalore,Sheikh Zayed Stadium,0,0,20.0,6.0,0,0,24.3
3098,JC Buttler,Royal Challengers Bangalore,Sheikh Zayed Stadium,2,0,46.0,29.428571428571427,3,1,29.733333333333334
3099,MK Lomror,Royal Challengers Bangalore,Sheikh Zayed Stadium,0,0,29.0,25.0,0,0,36.75128205128205
3100,R Parag,Royal Challengers Bangalore,Sheikh Zayed Stadium,0,0,16.0,26.5,1,0,17.121052631578948
3101,R Tewatia,Royal Challengers Bangalore,Sheikh Zayed Stadium,0,0,14.5,16.444444444444443,0,0,32.3
3102,RV Uthappa,Royal Challengers Bangalore,Sheikh Zayed Stadium,0,0,16.0,22.90909090909091,1,0,17.127272727272725
3103,SPD Smith,Royal Challengers Bangalore,Sheikh Zayed Stadium,0,0,15.8,25.714285714285715,1,0,12.8
